,emote,signifier,enchancedSentiment,positiveScore,neutralScore,negativeScore,Freq
0,✈, airplane ,0.0258,0.784,0.784,0.0,1
1,🛫, airplane_departure ,0.3612,0.0,0.0,0.0,3
2,👽, alien ,0.0,1.0,1.0,0.0,1
3,👾, alien_monster ,0.8315875,0.109,0.109,0.0,8
4,😲, astonished_face ,-0.5696,0.552,0.552,0.448,6
5,🍼, baby_bottle ,0.45879999999999993,0.0,0.0,0.0,3
6,🚼, baby_symbol ,0.5255,0.371,0.371,0.0,3
7,👇, backhand_index_pointing_down ,0.40512777777777775,0.7782222222222224,0.7782222222222224,0.003944444444444444,54
8,👈, backhand_index_pointing_left ,0.89646,0.22400000000000003,0.22400000000000003,0.0354,5
9,👉, backhand_index_pointing_right ,0.8434999999999999,0.2812727272727273,0.2812727272727273,0.020272727272727272,11
10,👆, backhand_index_pointing_up ,0.3332800000000001,0.619,0.619,0.0,10
11,☑, ballot_box_with_check ,0.5719,0.824,0.824,0.0,1
12,🍌, banana ,-0.296,0.645,0.645,0.355,2
13,🏦, bank ,0.0,1.0,1.0,0.0,3
14,🧺, basket ,0.6124,0.706,0.706,0.0,2
15,😁, beaming_face_with_smiling_eyes ,0.5719913043478263,0.30415217391304344,0.30415217391304344,0.02258695652173913,46
16,🐻, bear_face ,0.5462666666666668,0.4486666666666667,0.4486666666666667,0.0,6
17,🍺, beer_mug ,0.5404,0.30660000000000004,0.30660000000000004,0.0,5
18,🔔, bell ,0.0,1.0,1.0,0.0,3
19,🧃, beverage_box ,0.8642000000000001,0.383,0.383,0.0,9
20,🧢, billed_cap ,0.3182,0.46214285714285713,0.46214285714285713,0.0,7
21,🎂, birthday_cake ,0.62445,0.275,0.275,0.0,2
22,💙, blue_heart ,0.8436,0.464,0.464,0.0,1
23,📚, books ,-0.0516,0.566,0.566,0.226,1
24,🍾, bottle_with_popping_cork ,0.61425,0.187,0.187,0.0,2
25,🧠, brain ,0.0,1.0,1.0,0.0,3
26,🍞, bread ,0.42578750000000004,0.777375,0.777375,0.005625,6
27,🍞, bread ,0.42578750000000004,0.777375,0.777375,0.005625,2
28,💼, briefcase ,0.18874285714285716,0.9271428571428572,0.9271428571428572,0.0,3
29,💼, briefcase ,0.18874285714285716,0.9271428571428572,0.9271428571428572,0.0,4
30,🐛, bug ,0.4912,0.715,0.715,0.0,1
31,👥, busts_in_silhouette ,0.7579,0.712,0.712,0.0,1
32,🤙, call_me_hand ,0.7008394736842106,0.6286052631578949,0.6286052631578949,0.016605263157894734,1
33,🤙, call_me_hand ,0.7008394736842106,0.6286052631578949,0.6286052631578949,0.016605263157894734,37
34,🐱, cat_face ,0.4574,0.572,0.572,0.0,1
35,😼, cat_face_with_wry_smile ,0.3182,0.527,0.527,0.13866666666666666,3
36,🪑, chair ,0.0,1.0,1.0,0.0,1
37,📉, chart_decreasing ,0.5880285714285715,0.536,0.536,0.0,7
38,📈, chart_increasing ,0.6420153846153845,0.47080769230769237,0.47080769230769237,0.0,26
39,🍒, cherries ,0.0,1.0,1.0,0.0,1
40,🐔, chicken ,0.2732,0.656,0.656,0.0,1
41,🚸, children_crossing ,-0.5106,0.411,0.411,0.589,1
42,🍫, chocolate_bar ,0.128,0.0,0.0,0.0,1
43,🎬, clapper_board ,0.45880000000000004,0.6669999999999999,0.6669999999999999,0.0,6
44,👏, clapping_hands ,0.7124029411764708,0.3064411764705882,0.3064411764705882,0.07426470588235294,34
45,🍻, clinking_beer_mugs ,0.6251466666666665,0.2534,0.2534,0.03966666666666666,14
46,🍻, clinking_beer_mugs ,0.6251466666666665,0.2534,0.2534,0.03966666666666666,1
47,🥂, clinking_glasses ,0.9259,0.719,0.719,0.054,1
48,☁, cloud ,0.5859,0.902,0.902,0.0,1
49,🤡, clown_face ,-0.5453181818181819,0.48536363636363633,0.48536363636363633,0.44945454545454544,10
50,🤡, clown_face ,-0.5453181818181819,0.48536363636363633,0.48536363636363633,0.44945454545454544,1
51,⚰, coffin ,0.0,1.0,1.0,0.0,1
52,🥶, cold_face ,-0.35839999999999994,0.259,0.259,0.6292500000000001,3
