,stock,signifier,content,EasternDT,Hours,initialSentiment,enchancedSentiment,channel,server,positiveScore,neutralScore,negativeScore,month,year,prediction
0,beke,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),!cd beke,2020-11-27 12:43:22.926000-05:00,12.716666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
1,acb,Aurora Cannabis Inc. Common Shares,<@579205396166737921> not sure why someone bought one of my ACB contracts for 3.7 but I bought it back for $52 less a few minutes later 🤣,2020-11-27 10:27:11.732000-05:00,10.45,-0.1232,0.6777,Profits,Trademates,0.771,0.771,0.052,11,2020,positive
2,mid,American Century Mid Cap Growth Impact ETF,So this was rolled on Nov 25 mid session. 👇🏼,2020-11-27 10:05:28.907000-05:00,10.083333333333334,0.0,0.2023,Profits,Trademates,0.847,0.847,0.0,11,2020,positive
3,pltr,Palantir Technologies Inc. Class A Common Stock,PLTR call came in clutch,2020-11-25 23:50:30.495000-05:00,23.833333333333332,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
4,pltr,Palantir Technologies Inc. Class A Common Stock,PLTR ...OUT AT 120%,2020-11-25 09:55:54.026000-05:00,9.916666666666666,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
5,amd,"Advanced Micro Devices, Inc. - Common Stock",AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25 09:43:22.341000-05:00,9.716666666666667,0.3382,0.3382,Profits,Trademates,0.854,0.854,0.0,11,2020,positive
6,tsla,"Tesla, Inc.  - Common Stock",TSLA swing from a couple of hours ago,2020-11-24 13:43:54.647000-05:00,13.716666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
7,ago,Assured Guaranty Ltd. Common Stock,TSLA swing from a couple of hours ago,2020-11-24 13:43:54.647000-05:00,13.716666666666667,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
8,spy,SPDR S&P 500,SPY calls In and out 92%,2020-11-24 11:54:58.212000-05:00,11.9,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
9,tsla,"Tesla, Inc.  - Common Stock",Tsla bout to pay for my rent,2020-11-24 11:35:01.105000-05:00,11.583333333333334,-0.1027,-0.1027,Profits,Trademates,0.811,0.811,0.189,11,2020,negative
10,tsla,"Tesla, Inc.  - Common Stock",TSLA,2020-11-24 09:56:05.388000-05:00,9.933333333333334,0.0,0.0,Profits,Trademates,1.0,1.0,0.0,11,2020,neutral
