,0,1,2,3
0,488359813160501251,Merente#5844,Thanks <@464449226521313292> !  I opted for the protection on this which limited my profits but not much.  Still a 30% trade for me!,2020-11-30T20:48:43.035000+00:00
1,689681229989150742,jackaplan#7289,Barely followed the market at all today (didn’t like the price action) but I’ll take $160 any day,2020-11-30T20:58:32.872000+00:00
2,612337363326074936,Trademate#2515,<@131952052069728258> has reached level **13**!,2020-11-30T19:55:20.913000+00:00
3,488359813160501251,Merente#5844,Thanks <@464449226521313292> !  I opted for the protection on this which limited my profits but not much.  Still a 30% trade for me!,2020-11-30T20:48:43.035000+00:00
4,689681229989150742,jackaplan#7289,Barely followed the market at all today (didn’t like the price action) but I’ll take $160 any day,2020-11-30T20:58:32.872000+00:00
5,131952052069728258,Teecee#3022,<@!464449226521313292> thanks boss,2020-11-30T19:55:20.625000+00:00
6,612337363326074936,Trademate#2515,<@131952052069728258> has reached level **13**!,2020-11-30T19:55:20.913000+00:00
7,488359813160501251,Merente#5844,Thanks <@464449226521313292> !  I opted for the protection on this which limited my profits but not much.  Still a 30% trade for me!,2020-11-30T20:48:43.035000+00:00
8,689681229989150742,jackaplan#7289,Barely followed the market at all today (didn’t like the price action) but I’ll take $160 any day,2020-11-30T20:58:32.872000+00:00
9,464449226521313292,TradingJEDI#2647,<@!399198468159045633> BRO AWSOME SO GLAD YOU ARE IN IT WITH ME,2020-11-30T19:44:26.516000+00:00
10,131952052069728258,Teecee#3022,<@!464449226521313292> thanks boss,2020-11-30T19:55:20.625000+00:00
11,612337363326074936,Trademate#2515,<@131952052069728258> has reached level **13**!,2020-11-30T19:55:20.913000+00:00
12,488359813160501251,Merente#5844,Thanks <@464449226521313292> !  I opted for the protection on this which limited my profits but not much.  Still a 30% trade for me!,2020-11-30T20:48:43.035000+00:00
13,399198468159045633,AjKilgore#0424,<@!464449226521313292>  might have sold a bit soon but profit is profit,2020-11-30T19:30:11.004000+00:00
